2,23,774,373,63,74,1,0,-1,-1
2,22,1178,372,131,96,1,0,-1,-1
2,21,1412,400,115,134,1,0,-1,-1
2,20,223,605,88,42,1,1,-1,-1
2,19,1625,605,85,38,1,1,-1,-1
2,18,1215,644,91,40,1,1,-1,-1
2,17,1125,705,95,41,1,1,-1,-1
2,16,1593,662,93,39,1,1,-1,-1
2,15,1435,604,83,41,1,1,-1,-1
2,14,763,537,77,35,1,1,-1,-1
2,13,1163,553,74,35,1,1,-1,-1
2,12,807,588,82,35,1,1,-1,-1
2,11,1817,663,94,40,1,1,-1,-1
2,10,1341,558,79,33,1,1,-1,-1
2,9,15,567,84,35,1,1,-1,-1
2,8,661,657,94,42,1,1,-1,-1
2,7,423,598,86,36,1,1,-1,-1
2,6,573,539,76,34,1,1,-1,-1
2,5,453,655,92,43,1,1,-1,-1
2,4,209,562,85,34,1,1,-1,-1
2,3,1019,638,94,44,1,1,-1,-1
2,2,987,577,81,36,1,1,-1,-1
2,1,1377,709,96,42,1,1,-1,-1
3,23,769,372,61,72,1,0,-1,-1
3,22,1170,370,127,96,1,0,-1,-1
3,21,1399,398,113,136,1,0,-1,-1
3,20,219,603,88,42,1,1,-1,-1
3,19,1620,604,86,38,1,1,-1,-1
3,18,1211,642,91,40,1,1,-1,-1
3,17,1120,704,97,41,1,1,-1,-1
3,16,1589,660,94,39,1,1,-1,-1
3,15,1429,602,84,40,1,1,-1,-1
3,14,760,536,76,34,1,1,-1,-1
3,13,1157,551,77,35,1,1,-1,-1
3,12,803,586,82,35,1,1,-1,-1
3,11,1813,661,94,39,1,1,-1,-1
3,10,1338,557,77,32,1,1,-1,-1
3,9,7,565,86,34,1,1,-1,-1
3,8,658,656,93,41,1,1,-1,-1
3,7,419,597,86,36,1,1,-1,-1
3,6,567,537,78,34,1,1,-1,-1
3,5,447,653,95,43,1,1,-1,-1
3,4,206,561,81,32,1,1,-1,-1
3,3,1016,637,92,43,1,1,-1,-1
3,2,985,576,79,35,1,1,-1,-1
3,1,1372,708,95,42,1,1,-1,-1
4,23,769,372,62,73,1,0,-1,-1
4,22,1167,372,126,91,1,0,-1,-1
4,21,1398,399,111,136,1,0,-1,-1
4,20,220,605,88,42,1,1,-1,-1
4,19,1622,604,85,38,1,1,-1,-1
4,18,1210,644,91,39,1,1,-1,-1
4,17,1122,705,95,41,1,1,-1,-1
4,16,1590,662,94,39,1,1,-1,-1
4,15,1429,604,85,40,1,1,-1,-1
4,14,761,537,75,34,1,1,-1,-1
4,13,1156,552,77,35,1,1,-1,-1
4,12,801,587,84,35,1,1,-1,-1
